,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
65,"['New', 'lows', 'in', 'the', 'energies', '$OIH', '$XOP', 'with', 'OPEC', 'meeting', 'in', 'focus', 'tomorrow', '$CLF', 'now', '@', '7368', '041']",2014-11-26,14:12:02,EST,29667804,OIH,[u'suggested'],5884,174360,Technical,"[u'Equities', u'Options', u'Futures']",Intermediate,Day Trader,ep_capital
66,"['$SOX', 'continuing', 'to', 'build', 'on', 'the', 'bullish', 'reversal', 'in', 'October']",2014-11-26,14:10:52,EST,29667749,SOX,"[u'suggested', u'official']",32079,13740,,[u'Equities'],Professional,,hertcapital
67,"['$NFLX', 'in', 'Six', 'Charts']",2014-11-26,14:10:51,EST,29667747,NFLX,"[u'suggested', u'official']",6164,10056,,[u'Options'],Professional,Position Trader,OphirGottlieb
68,"['Could', 'we', 'get', 'that', '$LAKE', 'back', 'down', 'to', '$11', 'already', 'I', 'don', '39t', 'have', 'time', 'for', 'this']",2014-11-26,14:10:35,EST,29667734,LAKE,[u'suggested'],18588,31117,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,JFinDallas
69,"['US', 'antitrust', 'regulator', 'puts', 'conditions', 'on', 'Medtronic', '39s', 'proposed', 'acquisition', 'of', 'Covidien', '$COV']",2014-11-26,14:09:59,EST,29667701,COV,"[u'suggested', u'official']",39036,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
70,"['@Gpaisa', 'sexy', '$GPRO', 'gap', 'fill', 'here']",2014-11-26,14:05:04,EST,29667389,GPRO,[u'suggested'],2646,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
71,"['NEW', 'VIDEO', 'November', '2014', 'ETF', 'Chart', 'Review', '$SPY', '$VGK', '$VIG', '$DBC', '$TLT', '$HYG']",2014-11-26,14:04:16,EST,29667351,DBC,"[u'suggested', u'official']",2328,228938,Technical,"[u'Equities', u'Bonds']",Professional,Position Trader,fabiancapital
72,"['@chessNwine', 'I', 'sense', 'Putin', '39s', 'up', 'to', 'something', '$RSX', 'put', 'buying', '$XLE', 'put', 'buying', '$CORN', '$WEAT', 'acting', 'bullish', 'etc']",2014-11-26,14:04:07,EST,29667341,RSX,[u'suggested'],3845,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
73,"['last', '60', 'minutes', 'of', 'trade', 'range', 'from', '206975-2068', 'Energy', '10', 'and', 'conviction', '20', 'on', 'a', '1-5', 'scale', 'paper', 'in', 'the', 'SP500', 'pit', 'trade', '$ESF']",2014-11-26,14:03:49,EST,29667329,ES_F,"[u'suggested', u'official']",2739,170238,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,,TradersAudio
74,"['quot', '@chessNwine', 'Good', 'action', 'in', '$CORN', '$WEAT', 'again', 'today', 'quot']",2014-11-26,14:03:40,EST,29667323,CORN,[u'suggested'],3843,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
